Position;Track_Name;Artist;Streams;Date
1;One Dance;Drake;89403;2017-01-01
2;Starboy;The Weeknd;80882;2017-01-01
3;24K Magic;Bruno Mars;80838;2017-01-01
4;My Way;Calvin Harris;72133;2017-01-01
5;Mauvaise graine;Nekfeu;71082;2017-01-01
6;Squa;Nekfeu;70542;2017-01-01
7;Let Me Love You;DJ Snake;69647;2017-01-01
8;Afro Trap Pt. 7 (La puissance);MHD;62394;2017-01-01
9;Black Beatles;Rae Sremmurd;60080;2017-01-01
10;Tchoin;Kaaris;59226;2017-01-01
11;Sunset Lover;Petit Biscuit;58821;2017-01-01
12;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;58735;2017-01-01
13;Saturne;Nekfeu;58270;2017-01-01
14;Tchikita;Jul;56744;2017-01-01
15;Onizuka;PNL;56545;2017-01-01
16;Lordly (feat. Alex Aiono);Feder;55745;2017-01-01
17;Pop Corn;Boostee;54892;2017-01-01
18;I Took A Pill In Ibiza - Seeb Remix;Mike Posner;54286;2017-01-01
19;Human;Rag'n'Bone Man;53830;2017-01-01
20;DKR;Booba;53653;2017-01-01
21;Ride;Twenty One Pilots;53226;2017-01-01
22;I Feel It Coming;The Weeknd;52113;2017-01-01
23;Heathens;Twenty One Pilots;51884;2017-01-01
24;Lush Life;Zara Larsson;51117;2017-01-01
25;Don't Wanna Know;Maroon 5;50895;2017-01-01
26;Aloha;Møme;50720;2017-01-01
27;Cheap Thrills;Sia;50556;2017-01-01
28;Closer;The Chainsmokers;50520;2017-01-01
29;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;50021;2017-01-01
30;Work from Home;Fifth Harmony;49229;2017-01-01
31;The Ocean;Mike Perry;48424;2017-01-01
32;Heal Tomorrow;Naïve New Beaters;47997;2017-01-01
33;Ain't Your Mama;Jennifer Lopez;47913;2017-01-01
34;Sex;Cheat Codes;46127;2017-01-01
35;Cold Water (feat. Justin Bieber & MØ);Major Lazer;46064;2017-01-01
36;Naha;PNL;45800;2017-01-01
37;In the Name of Love;Martin Garrix;44289;2017-01-01
38;Bazardée;KeBlack;43993;2017-01-01
39;6.45i;SCH;43304;2017-01-01
40;Hymn For The Weekend - Seeb Remix;Coldplay;43128;2017-01-01
41;Infréquentables;Dosseh;42866;2017-01-01
42;Perfect Strangers;Jonas Blue;42224;2017-01-01
43;Réalité augmentée;Nekfeu;41939;2017-01-01
44;On m'appelle l'ovni;Jul;41938;2017-01-01
45;Light It Up (feat. Nyla & Fuse ODG) - Remix;Major Lazer;41138;2017-01-01
46;Humanoïde;Nekfeu;40763;2017-01-01
47;Final Song;MØ;38966;2017-01-01
48;Treat You Better;Shawn Mendes;38629;2017-01-01
49;Hundred Miles;Yall;38384;2017-01-01
50;Panda;Desiigner;38195;2017-01-01
51;Blow;Kaaris;38150;2017-01-01
52;Call On Me - Ryan Riback Extended Remix;Starley;37214;2017-01-01
53;Fast Car;Jonas Blue;36561;2017-01-01
54;Oblah;Gradur;36250;2017-01-01
55;Avant tu riais;Nekfeu;36208;2017-01-01
56;Bené;PNL;35639;2017-01-01
57;This Is What You Came For;Calvin Harris;35350;2017-01-01
58;"i hate u, i love u (feat. olivia o'brien)";gnash;35291;2017-01-01
59;Galatée;Nekfeu;35124;2017-01-01
60;Mercy;Shawn Mendes;35019;2017-01-01
61;Dans la légende;PNL;34920;2017-01-01
62;Say You Won't Let Go;James Arthur;34863;2017-01-01
63;Esquimaux;Nekfeu;34214;2017-01-01
64;The Greatest;Sia;34106;2017-01-01
65;Chantaje;Shakira;33719;2017-01-01
66;Lean On (feat. MØ & DJ Snake);Major Lazer;33281;2017-01-01
67;Tout donner - Pilule Violette;Maître Gims;33171;2017-01-01
68;All We Know;The Chainsmokers;33067;2017-01-01
69;A Kele Nta;MHD;32108;2017-01-01
70;Love Me Now;John Legend;31568;2017-01-01
71;This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016;David Guetta;31521;2017-01-01
72;Elle et l'autre;Jul;31027;2017-01-01
73;Bailar;Deorro;30443;2017-01-01
74;Poussière;Kaaris;30346;2017-01-01
75;Nekketsu;Nekfeu;29488;2017-01-01
76;Le regard des gens;Nekfeu;29391;2017-01-01
77;Tuesday;Burak Yeter;29164;2017-01-01
78;We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;28883;2017-01-01
79;Sapés comme jamais - Pilule bleue;Maître Gims;28833;2017-01-01
80;This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners;Kungs;28789;2017-01-01
81;DA;PNL;28779;2017-01-01
82;Sorry;Justin Bieber;28527;2017-01-01
83;Andale (feat. Gradur);Sadek;27150;2017-01-01
84;Lost on You;LP;26987;2017-01-01
85;Shed a Light;Robin Schulz;26933;2017-01-01
86;White Tiger - Single Version;Izzy Bizu;26817;2017-01-01
87;Nador;Kaaris;26569;2017-01-01
88;DUELE EL CORAZON;Enrique Iglesias;26324;2017-01-01
89;Halcyon Birds;Broken Back;26305;2017-01-01
90;Don't Let Me Down;The Chainsmokers;26217;2017-01-01
91;Dis-moi que tu m'aimes;Ninho;26209;2017-01-01
92;O.D;Nekfeu;24995;2017-01-01
93;C'est le son de la gratte;Jul;24932;2017-01-01
94;Mon Everest - feat. Marina Kaye;Soprano;24755;2017-01-01
95;Jusqu'au dernier gramme;PNL;24421;2017-01-01
96;Alone;Alan Walker;24359;2017-01-01
97;Cellophané;Rim'K;23828;2017-01-01
98;Capsize;FRENSHIP;23433;2017-01-01
99;Stressed Out;Twenty One Pilots;23258;2017-01-01
100;Please Don't Go;Joel Adams;23241;2017-01-01
101;Billie Jean;Michael Jackson;23061;2017-01-01
102;Besoin de sens;Nekfeu;23053;2017-01-01
103;En feu;Soprano;23031;2017-01-01
104;Qui a dit ?;Jul;22854;2017-01-01
105;Boyz N The Hood;Kaaris;22804;2017-01-01
106;No Money;Galantis;22735;2017-01-01
107;J'suis QLF;PNL;22570;2017-01-01
108;Fake Love;Drake;22315;2017-01-01
109;Binta;Alonzo;22190;2017-01-01
110;Je m'en fous de ta nana;Jul;22130;2017-01-01
111;Commando;Niska;22113;2017-01-01
112;Paris c'est loin;Damso;21606;2017-01-01
113;Je m'en vais;Vianney;21518;2017-01-01
114;Starving;Hailee Steinfeld;21517;2017-01-01
115;Programmé;Nekfeu;21447;2017-01-01
116;Vinyle;Nekfeu;21425;2017-01-01
117;Cake By The Ocean;DNCE;21216;2017-01-01
118;Hey Ya! - Radio Mix / Club Mix;OutKast;21183;2017-01-01
119;Skurt Cobain;Sneazzy;21105;2017-01-01
120;Thibaut Courtois;Shay;20591;2017-01-01
121;Cheerleader - Felix Jaehn Remix Radio Edit;OMI;20390;2017-01-01
122;92i veyron;Booba;20324;2017-01-01
123;Blended Family (What You Do For Love);Alicia Keys;20278;2017-01-01
124;Bambina;PNL;20073;2017-01-01
125;La bise (feat. Brulux);Sadek;19898;2017-01-01
126;Blind - Radio Edit;Feder;19789;2017-01-01
127;Would I Lie To You - Radio Edit;David Guetta;19613;2017-01-01
128;E.T.;Jul;19487;2017-01-01
129;Silver;Fakear;19413;2017-01-01
130;Mon bijou;Jul;19331;2017-01-01
131;Wherever I Go;OneRepublic;19074;2017-01-01
132;I Cry;Julian Perretta;19052;2017-01-01
133;L'Aventurier;Indochine;19024;2017-01-01
134;Sugar (feat. Francesco Yates);Robin Schulz;18883;2017-01-01
135;Faded;Alan Walker;18818;2017-01-01
136;Let It Go;James Bay;18731;2017-01-01
137;Work;Rihanna;18587;2017-01-01
138;Bang My Head (feat. Sia & Fetty Wap);David Guetta;18526;2017-01-01
139;Luz de Luna;PNL;18455;2017-01-01
140;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";ZAYN;18368;2017-01-01
141;Kiname (feat. Booba);Fally Ipupa;18359;2017-01-01
142;Ophelia;The Lumineers;18294;2017-01-01
143;Arrêt du cœur;Kalash Criminel;18281;2017-01-01
144;Dans ma vie;Gradur;18082;2017-01-01
145;Amnésie;Damso;17877;2017-01-01
146;Places;Martin Solveig;17749;2017-01-01
147;Alors On Danse - Radio Edit;Stromae;17614;2017-01-01
148;On va s'aimer;Gilbert Montagné;17573;2017-01-01
149;C'est ça;Jul;17523;2017-01-01
150;Get Lucky - Radio Edit;Daft Punk;17343;2017-01-01
151;Broccoli (feat. Lil Yachty);DRAM;17177;2017-01-01
152;Come;Jain;17156;2017-01-01
153;Mambo No. 5 (A Little Bit of...);Lou Bega;17143;2017-01-01
154;Tu sais pas;PNL;17021;2017-01-01
155;J'ai déconné;KeBlack;16994;2017-01-01
156;I Follow Rivers - The Magician Remix;Lykke Li;16875;2017-01-01
157;Afro Trap Pt. 3 (Champions League);MHD;16863;2017-01-01
158;We Found Love;Rihanna;16809;2017-01-01
159;September;"Earth, Wind & Fire";16603;2017-01-01
160;Side To Side;Ariana Grande;16590;2017-01-01
161;My Type;Saint Motel;16571;2017-01-01
162;Crazy;Gnarls Barkley;16537;2017-01-01
163;Je fais le sourd;Jul;16393;2017-01-01
164;J'fais mes affaires;Djadja & Dinaz;16345;2017-01-01
165;Uptown Funk;Mark Ronson;16288;2017-01-01
166;Love Yourself;Justin Bieber;16203;2017-01-01
167;The Greatest;Sia;16128;2017-01-01
168;"Me, Myself & I";G-Eazy;15972;2017-01-01
169;Juju On That Beat (TZ Anthem);Zay Hilfigerrr;15809;2017-01-01
170;Diamonds;Rihanna;15529;2017-01-01
171;Printemps blanc;Niro;15471;2017-01-01
172;Les sunlights des tropiques;Gilbert Montagné;15460;2017-01-01
173;Princesse;Nekfeu;15439;2017-01-01
174;Les lacs du Connemara;Michel Sardou;15439;2017-01-01
175;Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song);Shakira;15384;2017-01-01
176;Single Ladies (Put a Ring on It);Beyoncé;15377;2017-01-01
177;Scars To Your Beautiful;Alessia Cara;15345;2017-01-01
178;Paix sans guerre;MRC;15241;2017-01-01
179;Mira;PNL;15225;2017-01-01
180;Clandestina;Lartiste;15190;2017-01-01
181;E.L.E.P.H.A.N.T;Booba;15164;2017-01-01
182;Le monde ou rien;PNL;15155;2017-01-01
183;Les princes;MZ;15125;2017-01-01
184;Don't Be So Shy - Filatov & Karas Remix;Imany;15033;2017-01-01
185;Our Own House;MisterWives;14979;2017-01-01
186;Allo maman;SCH;14945;2017-01-01
187;Wake Me up Before You Go-Go;Wham!;14919;2017-01-01
188;Putain d'époque;Dosseh;14919;2017-01-01
189;Moves Like Jagger - Studio Recording From The Voice Performance;Maroon 5;14903;2017-01-01
190;Blow Your Mind (Mwah);Dua Lipa;14886;2017-01-01
191;Un homme debout;Claudio Capéo;14766;2017-01-01
192;"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)";Lil Wayne;14748;2017-01-01
193;Stop Us - Radio Edit;SIYYU;14718;2017-01-01
194;Papaoutai;Stromae;14587;2017-01-01
195;#Askip;Black M;14496;2017-01-01
196;1er Gaou;Magic System;14460;2017-01-01
197;Believer;Major Lazer;14400;2017-01-01
198;Angela;Saian Supa Crew;14393;2017-01-01
199;7 Years;Lukas Graham;14378;2017-01-01
200;Uranus;PNL;14369;2017-01-01
1;Mauvaise graine;Nekfeu;91971;2017-01-02
2;Squa;Nekfeu;89589;2017-01-02
3;Starboy;The Weeknd;84800;2017-01-02
4;One Dance;Drake;75816;2017-01-02
5;Saturne;Nekfeu;75007;2017-01-02
6;Afro Trap Pt. 7 (La puissance);MHD;74851;2017-01-02
7;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;71209;2017-01-02
8;24K Magic;Bruno Mars;71017;2017-01-02
9;Sunset Lover;Petit Biscuit;69774;2017-01-02
10;My Way;Calvin Harris;67471;2017-01-02
11;Human;Rag'n'Bone Man;66965;2017-01-02
12;Tchoin;Kaaris;66800;2017-01-02
13;Black Beatles;Rae Sremmurd;66399;2017-01-02
14;Let Me Love You;DJ Snake;63555;2017-01-02
15;Onizuka;PNL;63413;2017-01-02
16;I Feel It Coming;The Weeknd;62038;2017-01-02
17;Heathens;Twenty One Pilots;61485;2017-01-02
18;DKR;Booba;58253;2017-01-02
19;Ride;Twenty One Pilots;58142;2017-01-02
20;Closer;The Chainsmokers;56313;2017-01-02
21;Lordly (feat. Alex Aiono);Feder;55983;2017-01-02
22;Réalité augmentée;Nekfeu;55686;2017-01-02
23;Humanoïde;Nekfeu;54000;2017-01-02
24;6.45i;SCH;52864;2017-01-02
25;Naha;PNL;52620;2017-01-02
26;Tchikita;Jul;52520;2017-01-02
27;Bazardée;KeBlack;52423;2017-01-02
28;Don't Wanna Know;Maroon 5;51510;2017-01-02
29;"i hate u, i love u (feat. olivia o'brien)";gnash;51341;2017-01-02
30;Pop Corn;Boostee;51065;2017-01-02
31;Mercy;Shawn Mendes;50945;2017-01-02
32;Infréquentables;Dosseh;50901;2017-01-02
33;Aloha;Møme;48241;2017-01-02
34;Avant tu riais;Nekfeu;47941;2017-01-02
35;Galatée;Nekfeu;47037;2017-01-02
36;Treat You Better;Shawn Mendes;46166;2017-01-02
37;Say You Won't Let Go;James Arthur;45831;2017-01-02
38;The Ocean;Mike Perry;45419;2017-01-02
39;I Took A Pill In Ibiza - Seeb Remix;Mike Posner;44806;2017-01-02
40;Cold Water (feat. Justin Bieber & MØ);Major Lazer;44651;2017-01-02
41;On m'appelle l'ovni;Jul;44305;2017-01-02
42;All We Know;The Chainsmokers;43907;2017-01-02
43;Esquimaux;Nekfeu;43526;2017-01-02
44;Call On Me - Ryan Riback Extended Remix;Starley;42409;2017-01-02
45;Blow;Kaaris;41728;2017-01-02
46;Heal Tomorrow;Naïve New Beaters;41465;2017-01-02
47;Work from Home;Fifth Harmony;41389;2017-01-02
48;Oblah;Gradur;40777;2017-01-02
49;Final Song;MØ;40745;2017-01-02
50;Tout donner - Pilule Violette;Maître Gims;40626;2017-01-02
51;Sex;Cheat Codes;40620;2017-01-02
52;Love Me Now;John Legend;40572;2017-01-02
53;Chantaje;Shakira;40474;2017-01-02
54;Lush Life;Zara Larsson;40473;2017-01-02
55;Le regard des gens;Nekfeu;39623;2017-01-02
56;Nekketsu;Nekfeu;38948;2017-01-02
57;Ain't Your Mama;Jennifer Lopez;38839;2017-01-02
58;Dans la légende;PNL;38697;2017-01-02
59;Perfect Strangers;Jonas Blue;38614;2017-01-02
60;Lost on You;LP;38441;2017-01-02
61;Bené;PNL;38406;2017-01-02
62;In the Name of Love;Martin Garrix;38089;2017-01-02
63;The Greatest;Sia;37868;2017-01-02
64;Cheap Thrills;Sia;37736;2017-01-02
65;We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;36114;2017-01-02
66;Poussière;Kaaris;35681;2017-01-02
67;Elle et l'autre;Jul;35193;2017-01-02
68;Hymn For The Weekend - Seeb Remix;Coldplay;34691;2017-01-02
69;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;34627;2017-01-02
70;Halcyon Birds;Broken Back;34464;2017-01-02
71;O.D;Nekfeu;33353;2017-01-02
72;Hundred Miles;Yall;32591;2017-01-02
73;Andale (feat. Gradur);Sadek;32530;2017-01-02
74;Dis-moi que tu m'aimes;Ninho;31651;2017-01-02
75;Besoin de sens;Nekfeu;31403;2017-01-02
76;Panda;Desiigner;31242;2017-01-02
77;DA;PNL;30931;2017-01-02
78;Fast Car;Jonas Blue;30475;2017-01-02
79;Nador;Kaaris;30037;2017-01-02
80;Mon Everest - feat. Marina Kaye;Soprano;29805;2017-01-02
81;Alone;Alan Walker;29547;2017-01-02
82;Programmé;Nekfeu;29101;2017-01-02
83;Cellophané;Rim'K;28956;2017-01-02
84;Please Don't Go;Joel Adams;28936;2017-01-02
85;Tuesday;Burak Yeter;28910;2017-01-02
86;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";ZAYN;28754;2017-01-02
87;Capsize;FRENSHIP;28595;2017-01-02
88;Je m'en vais;Vianney;28576;2017-01-02
89;Vinyle;Nekfeu;28413;2017-01-02
90;Shed a Light;Robin Schulz;28280;2017-01-02
91;Don't Let Me Down;The Chainsmokers;28240;2017-01-02
92;A Kele Nta;MHD;28214;2017-01-02
93;Silver;Fakear;27970;2017-01-02
94;Fake Love;Drake;27440;2017-01-02
95;Light It Up (feat. Nyla & Fuse ODG) - Remix;Major Lazer;27416;2017-01-02
96;Starving;Hailee Steinfeld;27397;2017-01-02
97;Blended Family (What You Do For Love);Alicia Keys;27263;2017-01-02
98;Jusqu'au dernier gramme;PNL;27257;2017-01-02
99;C'est le son de la gratte;Jul;26698;2017-01-02
100;Boyz N The Hood;Kaaris;26541;2017-01-02
101;Commando;Niska;26171;2017-01-02
102;Stressed Out;Twenty One Pilots;25997;2017-01-02
103;Qui a dit ?;Jul;25742;2017-01-02
104;Thibaut Courtois;Shay;25610;2017-01-02
105;Skurt Cobain;Sneazzy;25336;2017-01-02
106;Paris c'est loin;Damso;25312;2017-01-02
107;This Is What You Came For;Calvin Harris;25129;2017-01-02
108;J'suis QLF;PNL;24412;2017-01-02
109;This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners;Kungs;24373;2017-01-02
110;Je m'en fous de ta nana;Jul;24220;2017-01-02
111;Let It Go;James Bay;23979;2017-01-02
112;La bise (feat. Brulux);Sadek;23944;2017-01-02
113;Ophelia;The Lumineers;23464;2017-01-02
114;Wherever I Go;OneRepublic;22920;2017-01-02
115;En feu;Soprano;22107;2017-01-02
116;Binta;Alonzo;21885;2017-01-02
117;Amnésie;Damso;21838;2017-01-02
118;92i veyron;Booba;21830;2017-01-02
119;Bambina;PNL;21662;2017-01-02
120;E.T.;Jul;21491;2017-01-02
121;I Cry;Julian Perretta;21448;2017-01-02
122;Dans ma vie;Gradur;20933;2017-01-02
123;Kiname (feat. Booba);Fally Ipupa;20752;2017-01-02
124;Scars To Your Beautiful;Alessia Cara;20569;2017-01-02
125;Arrêt du cœur;Kalash Criminel;20544;2017-01-02
126;Luz de Luna;PNL;20126;2017-01-02
127;Princesse;Nekfeu;19942;2017-01-02
128;Side To Side;Ariana Grande;19888;2017-01-02
129;WALLS;Kings of Leon;19428;2017-01-02
130;Way Down We Go;Kaleo;19370;2017-01-02
131;Printemps blanc;Niro;19354;2017-01-02
132;Faded;Alan Walker;19354;2017-01-02
133;C'est ça;Jul;19214;2017-01-02
134;Lean On (feat. MØ & DJ Snake);Major Lazer;19113;2017-01-02
135;7 Years;Lukas Graham;19089;2017-01-02
136;Broccoli (feat. Lil Yachty);DRAM;19066;2017-01-02
137;Je fais le sourd;Jul;19000;2017-01-02
138;Tu sais pas;PNL;18735;2017-01-02
139;Love Yourself;Justin Bieber;18671;2017-01-02
140;Bird Set Free;Sia;18595;2017-01-02
141;J'ai déconné;KeBlack;18589;2017-01-02
142;Paix sans guerre;MRC;18453;2017-01-02
143;Putain d'époque;Dosseh;18353;2017-01-02
144;Mon bijou;Jul;18294;2017-01-02
145;J'fais mes affaires;Djadja & Dinaz;18255;2017-01-02
146;Clandestina;Lartiste;18068;2017-01-02
147;This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016;David Guetta;17830;2017-01-02
148;E.L.E.P.H.A.N.T;Booba;17778;2017-01-02
149;Allo maman;SCH;17681;2017-01-02
150;White Tiger - Single Version;Izzy Bizu;17598;2017-01-02
151;Les princes;MZ;17574;2017-01-02
152;"Me, Myself & I";G-Eazy;17182;2017-01-02
153;"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)";Lil Wayne;17073;2017-01-02
154;J’aurais pas dû;S.Crew;16997;2017-01-02
155;Juju On That Beat (TZ Anthem);Zay Hilfigerrr;16993;2017-01-02
156;Tout ira mieux;Ninho;16973;2017-01-02
157;Bailar;Deorro;16964;2017-01-02
158;Le monde ou rien;PNL;16882;2017-01-02
159;Bad and Boujee (feat. Lil Uzi Vert);Migos;16769;2017-01-02
160;Thinking Out Loud;Ed Sheeran;16696;2017-01-02
161;Mira;PNL;16588;2017-01-02
162;The Greatest;Sia;16512;2017-01-02
163;King;Saint PHNX;16218;2017-01-02
164;Believer;Major Lazer;16129;2017-01-02
165;No Money;Galantis;16103;2017-01-02
166;#Askip;Black M;15943;2017-01-02
167;Y'a pas de stress;Jul;15924;2017-01-02
168;Humain;PNL;15831;2017-01-02
169;Speeding Cars;Walking On Cars;15822;2017-01-02
170;Un homme debout;Claudio Capéo;15706;2017-01-02
171;J'ai dit...;Jul;15686;2017-01-02
172;Ma dope;Nekfeu;15656;2017-01-02
173;On verra;Nekfeu;15587;2017-01-02
174;Uranus;PNL;15567;2017-01-02
175;"Je dis rien, je vois tout, j'entends";Jul;15476;2017-01-02
176;Never Be Like You;Flume;15411;2017-01-02
177;Work;Rihanna;15377;2017-01-02
178;I'm Yours;Jason Mraz;15352;2017-01-02
179;Now and Later;Sage The Gemini;15339;2017-01-02
180;Cabeza;Shay;15333;2017-01-02
181;Would I Lie To You - Radio Edit;David Guetta;15256;2017-01-02
182;Just Hold On;Steve Aoki;15087;2017-01-02
183;Sorry;Justin Bieber;14870;2017-01-02
184;Stay With Me;Sam Smith;14773;2017-01-02
185;Le lac;Julien Doré;14659;2017-01-02
186;Laissez-les kouma (feat. MHD);Zaho;14641;2017-01-02
187;Four Walls (The Ballad Of Perry Smith);Bastille;14639;2017-01-02
188;¿ Cómo Te Llamas ?;Jul;14624;2017-01-02
189;DUELE EL CORAZON;Enrique Iglesias;14573;2017-01-02
190;Contact;Kaaris;14488;2017-01-02
191;Roulez;Niro;14464;2017-01-02
192;25 décembre;Dosseh;14446;2017-01-02
193;PMW;Shay;14425;2017-01-02
194;Mais qu'est-ce qu'on s'en bat les couilles !;Jul;14380;2017-01-02
195;Let It All Go;RHODES;14377;2017-01-02
196;Youth;Daughter;14364;2017-01-02
197;Kratos;PNL;14300;2017-01-02
198;French Kiss;Black M;14166;2017-01-02
199;Sale sonorité;Kalash Criminel;14109;2017-01-02
200;By Your Side;Jonas Blue;14045;2017-01-02
1;Mauvaise graine;Nekfeu;94563;2017-01-03
2;Squa;Nekfeu;91538;2017-01-03
3;Afro Trap Pt. 7 (La puissance);MHD;78764;2017-01-03
4;Starboy;The Weeknd;77771;2017-01-03
5;Saturne;Nekfeu;77617;2017-01-03
6;Tchoin;Kaaris;67579;2017-01-03
7;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;66333;2017-01-03
8;One Dance;Drake;65624;2017-01-03
9;Human;Rag'n'Bone Man;63899;2017-01-03
10;24K Magic;Bruno Mars;61259;2017-01-03
11;Onizuka;PNL;61169;2017-01-03
12;Sunset Lover;Petit Biscuit;61046;2017-01-03
13;Black Beatles;Rae Sremmurd;60939;2017-01-03
14;My Way;Calvin Harris;60379;2017-01-03
15;I Feel It Coming;The Weeknd;59705;2017-01-03
16;Réalité augmentée;Nekfeu;57355;2017-01-03
17;DKR;Booba;56597;2017-01-03
18;6.45i;SCH;56416;2017-01-03
19;Let Me Love You;DJ Snake;55829;2017-01-03
20;Heathens;Twenty One Pilots;55426;2017-01-03
21;Humanoïde;Nekfeu;54951;2017-01-03
22;Closer;The Chainsmokers;52812;2017-01-03
23;Infréquentables;Dosseh;52199;2017-01-03
24;Ride;Twenty One Pilots;51266;2017-01-03
25;Naha;PNL;49893;2017-01-03
26;Bazardée;KeBlack;49888;2017-01-03
27;Lordly (feat. Alex Aiono);Feder;49379;2017-01-03
28;Pop Corn;Boostee;48954;2017-01-03
29;Avant tu riais;Nekfeu;48880;2017-01-03
30;Galatée;Nekfeu;48256;2017-01-03
31;Don't Wanna Know;Maroon 5;47465;2017-01-03
32;Tchikita;Jul;47276;2017-01-03
33;Say You Won't Let Go;James Arthur;45455;2017-01-03
34;Esquimaux;Nekfeu;45292;2017-01-03
35;All We Know;The Chainsmokers;44604;2017-01-03
36;"i hate u, i love u (feat. olivia o'brien)";gnash;44319;2017-01-03
37;Mercy;Shawn Mendes;43075;2017-01-03
38;Aloha;Møme;42275;2017-01-03
39;The Ocean;Mike Perry;42085;2017-01-03
40;Blow;Kaaris;42033;2017-01-03
41;On m'appelle l'ovni;Jul;41628;2017-01-03
42;Oblah;Gradur;41431;2017-01-03
43;Treat You Better;Shawn Mendes;41193;2017-01-03
44;Call On Me - Ryan Riback Extended Remix;Starley;41075;2017-01-03
45;Tout donner - Pilule Violette;Maître Gims;40691;2017-01-03
46;Heal Tomorrow;Naïve New Beaters;40512;2017-01-03
47;Le regard des gens;Nekfeu;39807;2017-01-03
48;Chantaje;Shakira;39468;2017-01-03
49;Final Song;MØ;39258;2017-01-03
50;Nekketsu;Nekfeu;39136;2017-01-03
51;Love Me Now;John Legend;39091;2017-01-03
52;The Greatest;Sia;39036;2017-01-03
53;I Took A Pill In Ibiza - Seeb Remix;Mike Posner;37934;2017-01-03
54;Dans la légende;PNL;36993;2017-01-03
55;Cold Water (feat. Justin Bieber & MØ);Major Lazer;36920;2017-01-03
56;Bené;PNL;36246;2017-01-03
57;Poussière;Kaaris;36172;2017-01-03
58;Work from Home;Fifth Harmony;36137;2017-01-03
59;Lush Life;Zara Larsson;34929;2017-01-03
60;Ain't Your Mama;Jennifer Lopez;34722;2017-01-03
61;Elle et l'autre;Jul;34487;2017-01-03
62;Sex;Cheat Codes;34253;2017-01-03
63;O.D;Nekfeu;33098;2017-01-03
64;Perfect Strangers;Jonas Blue;33019;2017-01-03
65;We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;32287;2017-01-03
66;Lost on You;LP;31822;2017-01-03
67;In the Name of Love;Martin Garrix;31682;2017-01-03
68;Cheap Thrills;Sia;31197;2017-01-03
69;Besoin de sens;Nekfeu;31058;2017-01-03
70;Dis-moi que tu m'aimes;Ninho;30829;2017-01-03
71;Nador;Kaaris;30465;2017-01-03
72;Cellophané;Rim'K;30341;2017-01-03
73;Andale (feat. Gradur);Sadek;29883;2017-01-03
74;DA;PNL;29295;2017-01-03
75;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;29243;2017-01-03
76;Halcyon Birds;Broken Back;29100;2017-01-03
77;Programmé;Nekfeu;28558;2017-01-03
78;Hymn For The Weekend - Seeb Remix;Coldplay;28379;2017-01-03
79;Vinyle;Nekfeu;28085;2017-01-03
80;Alone;Alan Walker;27920;2017-01-03
81;Je m'en vais;Vianney;27878;2017-01-03
82;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";ZAYN;27615;2017-01-03
83;Hundred Miles;Yall;27613;2017-01-03
84;Boyz N The Hood;Kaaris;27161;2017-01-03
85;Commando;Niska;26802;2017-01-03
86;Tuesday;Burak Yeter;26792;2017-01-03
87;Mon Everest - feat. Marina Kaye;Soprano;26691;2017-01-03
88;Capsize;FRENSHIP;26675;2017-01-03
89;Fake Love;Drake;26638;2017-01-03
90;Panda;Desiigner;26303;2017-01-03
91;Fast Car;Jonas Blue;26190;2017-01-03
92;Jusqu'au dernier gramme;PNL;26147;2017-01-03
93;Blended Family (What You Do For Love);Alicia Keys;26132;2017-01-03
94;Starving;Hailee Steinfeld;25604;2017-01-03
95;Skurt Cobain;Sneazzy;25555;2017-01-03
96;Thibaut Courtois;Shay;25548;2017-01-03
97;Please Don't Go;Joel Adams;25054;2017-01-03
98;C'est le son de la gratte;Jul;24993;2017-01-03
99;La bise (feat. Brulux);Sadek;24992;2017-01-03
100;Paris c'est loin;Damso;24917;2017-01-03
101;Qui a dit ?;Jul;24882;2017-01-03
